Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,chlorophyll a,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,total carotenoids,total chlorophylls,total tocopherols
9C-2,9,C,sample,Site Reference,4.846237224,1.166947797,2.349233377,20.98159318,8.65014533,9.526798624,44.89217556,7.586868906,26.93024858,73.06975142,12.1663265,45.58102582,54.41897418,73.06975142
9C-3,9,C,sample,Site Reference,3.782391406,0.437595043,1.562941164,25.29629317,10.51182378,10.58989471,38.78613737,9.032923348,25.11707677,74.88292323,12.51235999,50.62396792,49.37603208,74.88292323
9C-4,9,C,sample,Site Reference,4.188578988,0.687873759,1.855345181,24.58190344,9.159491162,14.8094191,38.08107192,6.636316451,25.71091394,74.28908606,11.7027101,47.10950898,52.89049102,74.28908606
9C-mean,9,C,mean,Site Reference,4.272402539,0.764138866,1.922506574,23.61992993,9.440486757,11.64203748,40.58646162,7.752036235,25.91941309,74.08058691,12.1271322,47.7715009,52.2284991,74.08058691
9C-dev,9,C,dev,Site Reference,0.438339117,0.302601096,0.324496379,1.888245001,0.785570093,2.281340699,3.058175789,0.985356565,0.754763504,0.754763504,0.331698035,2.11131732,2.11131732,0.754763504
11A (outlier),11,A,sample,UV Filtered,1.805264422,1.365764576,1.631935546,21.86312795,8.750283552,9.400120022,36.15635388,19.02715005,18.45323156,81.54676844,11.74798367,54.4435261,45.5564739,81.54676844
11A-2,11,A,sample,UV Filtered,4.486512318,1.256341848,1.744862517,18.95090583,6.313051812,11.6783428,42.98294973,12.58703314,16.102136,83.897864,9.314256177,45.33870747,54.66129253,83.897864
11A-3,11,A,sample,UV Filtered,3.653362946,0.899279635,1.570406069,18.63721557,6.144626088,14.79520856,47.47680829,6.823092842,18.73364122,81.26635878,8.614311792,37.72798315,62.27201685,81.26635878
11A-4,11,A,sample,UV Filtered,4.932205171,1.764938657,2.077028567,18.45366171,5.744329451,17.88818903,42.89456823,6.24507919,17.57471742,82.42528258,9.586296675,39.21724274,60.78275726,82.42528258
11A-mean,11,A,mean,UV Filtered,4.357360145,1.30685338,1.797432384,18.68059437,6.067335784,14.7872468,44.45144208,8.551735059,17.47016488,82.52983512,9.171621548,40.76131112,59.23868888,82.52983512
11A-dev,11,A,dev,UV Filtered,0.530012309,0.355204117,0.21014167,0.205303384,0.238525504,2.535165355,2.139561221,2.863127419,1.076848287,1.076848287,0.409428163,3.293315606,3.293315606,1.076848287
11B,11,B,sample,UV Transmitted,4.197521771,0.861746554,0.903811871,20.06494234,7.147907451,12.7845961,36.14235824,17.89711568,12.09167024,87.90832976,8.913465876,51.07304567,48.92695433,87.90832976
11B-3,11,B,sample,UV Transmitted,3.552303582,0.855992755,1.142246629,16.78032478,5.584384768,14.0413531,47.56644703,10.47694736,12.02838626,87.97161374,7.582624152,38.39219987,61.60780013,87.97161374
11B-2,11,B,sample,UV Transmitted,4.158909457,1.121621698,1.300006707,17.51381025,5.824298538,14.52119159,45.48748993,10.07267183,11.8639643,88.1360357,8.245926942,39.99131848,60.00868152,88.1360357
11B-mean,11,B,mean,UV Transmitted,3.96957827,0.946453669,1.115355069,18.11969245,6.185530252,13.78238026,43.06543173,12.81557829,11.9946736,88.0053264,8.24733899,43.15218801,56.84781199,88.0053264
11B-dev,11,B,dev,UV Transmitted,0.29547854,0.123884773,0.162859764,1.407716369,0.687515846,0.732230008,4.968381738,3.596978026,0.095968421,0.095968421,0.543314776,5.638811025,5.638811025,0.095968421
11C (outlier),11,C,sample,Site Reference,4.000486056,0.664227108,1.374985376,23.09549516,9.79581506,9.454709632,34.53100242,17.08327918,14.82976568,85.17023432,11.83502754,56.01428794,43.98571206,85.17023432
11C-2,11,C,sample,Site Reference,3.82407759,0.593706156,1.615731362,20.45170757,7.913396018,10.1102056,43.64412182,11.84705389,16.84122041,83.15877959,10.12283354,46.24567258,53.75432742,83.15877959
11C-3,11,C,sample,Site Reference,2.905078949,0.367372138,1.455928225,21.07682327,8.73955652,9.411805046,40.65252567,15.39091018,16.23379887,83.76620113,10.56285688,49.93566928,50.06433072,83.76620113
11C-4,11,C,sample,Site Reference,3.801713408,0.613357955,1.818578864,21.13946163,7.613712566,14.02868031,38.93695648,12.0475388,15.10713791,84.89286209,10.04564939,47.03436321,52.96563679,84.89286209
11C-mean,11,C,mean,Site Reference,3.510289982,0.524812083,1.630079484,20.88933082,8.088888368,11.18356365,41.07786799,13.09516762,16.06071906,83.93928094,10.24377993,47.73856836,52.26143164,83.93928094
11C-dev,11,C,dev,Site Reference,0.428046209,0.111615562,0.148398727,0.310501182,0.476080754,2.031905088,1.945085852,1.625397177,0.718437187,0.718437187,0.227811212,1.586599631,1.586599631,0.718437187
12A,12,A,sample,UV Filtered,4.071383694,0.830623726,1.870266341,23.15078237,9.134775572,9.058548723,38.55485209,13.32876749,30.9657392,69.0342608,11.83566564,52.38659919,47.61340081,69.0342608
12A-2,12,A,sample,UV Filtered,3.212126646,0.484492235,1.580365835,21.86890056,7.753192002,12.17168524,44.04012097,8.889116518,28.28394069,71.71605931,9.818050072,43.78819379,56.21180621,71.71605931
12A-3,12,A,sample,UV Filtered,5.598664285,1.024190555,1.848204581,19.24610082,6.585646151,14.23492261,43.89599984,7.566271155,29.23006002,70.76993998,9.458041287,41.86907755,58.13092245,70.76993998
12A-mean,12,A,mean,UV Filtered,4.294058208,0.779768839,1.766278919,21.42192792,7.824537908,11.82171886,42.16365763,9.92805172,29.49324664,70.50675336,10.37058567,46.01462351,53.98537649,70.50675336
12A-dev,12,A,dev,UV Filtered,0.986940873,0.223246103,0.131768576,1.625109823,1.041899829,2.127685597,2.552489089,2.464566325,1.110543773,1.110543773,1.046341588,4.573277989,4.573277989,1.110543773
12B,12,B,sample,UV Transmitted,4.513434514,1.291826754,1.781435483,21.36870952,7.216864442,11.92367319,42.66501543,9.239040664,32.20579577,67.79420423,10.29012668,45.41131138,54.58868862,67.79420423
12B-2,12,B,sample,UV Transmitted,3.941527136,0.958719172,1.371167639,20.50626072,7.295834261,12.58867092,45.04922759,8.288592554,28.24545368,71.75454632,9.625721072,42.36210148,57.63789852,71.75454632
12B-3,12,B,sample,UV Transmitted,4.453336827,0.886259703,1.773329185,19.79671813,7.063296555,14.28307833,42.77401878,8.969962486,26.04760482,73.95239518,9.722885443,42.94290289,57.05709711,73.95239518
12B-mean,12,B,mean,UV Transmitted,4.302766159,1.045601876,1.641977436,20.55722946,7.191998419,12.93180748,43.49608727,8.832531901,28.83295142,71.16704858,9.879577731,43.57210525,56.42789475,71.16704858
12B-dev,12,B,dev,UV Transmitted,0.256610154,0.1766024,0.191520038,0.642773982,0.096547693,0.993312699,1.099137265,0.400002731,2.548161972,2.548161972,0.292999497,1.321953593,1.321953593,2.548161972
12C,12,C,sample,Site Reference,3.559632622,0.680546586,1.317834199,21.34912976,9.740047109,7.781988834,33.46471829,22.1061026,22.69251681,77.30748319,11.73842789,58.75329288,41.24670712,77.30748319
12C-2,12,C,sample,Site Reference,3.311492688,0.518772091,1.431106945,19.29589172,7.80727744,8.917468971,40.97848954,17.7395006,21.48501969,78.51498031,9.757156476,50.10404149,49.89595851,78.51498031
12C-3,12,C,sample,Site Reference,3.550152215,0.533180612,1.390142295,19.86532513,8.279595713,9.750175399,38.60652454,18.0249041,22.40588033,77.59411967,10.20291862,51.64330006,48.35669994,77.59411967
12C-mean,12,C,mean,Site Reference,3.473759175,0.577499763,1.37969448,20.17011554,8.608973421,8.816544401,37.68324412,19.2901691,22.19447228,77.80552772,10.56616766,53.50021148,46.49978852,77.80552772
12C-dev,12,C,dev,Site Reference,0.114804992,0.073102153,0.046829808,0.865493889,0.82270566,0.806671728,3.136189264,1.994571782,0.5151261,0.5151261,0.848654429,3.767269338,3.767269338,0.5151261
13A,13,A,sample,UV Filtered,4.548384375,1.072244129,2.097145076,17.53787279,5.777911287,10.38098313,47.35978697,11.22567225,21.22144552,78.77855448,8.947300491,42.2592299,57.7407701,78.77855448
13A-2,13,A,sample,UV Filtered,3.467623647,0.766538126,0.738529584,18.17438461,6.218730136,14.62195048,48.6082242,7.404019212,31.00462471,68.99537529,7.723797845,36.76982532,63.23017468,68.99537529
13A-3,13,A,sample,UV Filtered,4.400188282,0.960748557,1.416433222,20.35991956,6.655881602,15.28245103,42.79311777,8.131259971,31.73843151,68.26156849,9.03306338,41.92443119,58.07556881,68.26156849
13A-mean,13,A,mean,UV Filtered,4.138732101,0.933176937,1.417369294,18.69072565,6.217507675,13.42846155,46.25370965,8.920317143,27.98816725,72.01183275,8.568053906,40.3178288,59.6821712,72.01183275
13A-dev,13,A,dev,UV Filtered,0.478386482,0.126317551,0.554652847,1.208564728,0.358430923,2.171698073,2.499522752,1.656948278,4.794163832,4.794163832,0.598005039,2.512537774,2.512537774,4.794163832
13B,13,B,sample,UV Transmitted,5.37294434,1.294988202,1.405360458,22.8342521,8.182533714,12.66399046,35.90165547,12.34427526,24.81715034,75.18284966,10.88288237,51.43435407,48.56564593,75.18284966
13B-2,13,B,sample,UV Transmitted,4.66191761,1.139313861,1.552652797,19.97952006,5.882644601,13.30964079,43.98111574,9.493194537,16.71847166,83.28152834,8.574611258,42.70924347,57.29075653,83.28152834
13B-3,13,B,sample,UV Transmitted,4.498515341,1.073891163,1.356528201,18.37680435,6.229122949,15.46748196,44.27283235,8.724823675,16.71847166,83.28152834,8.659542313,40.25968568,59.74031432,83.28152834
13B-mean,13,B,mean,UV Transmitted,4.844459097,1.169397742,1.438180485,20.39685884,6.764767088,13.81370441,41.38520119,10.18743116,19.41803122,80.58196878,9.372345315,44.80109441,55.19890559,80.58196878
13B-dev,13,B,dev,UV Transmitted,0.379602919,0.092735305,0.083362981,1.843518165,1.012442086,1.198735791,3.879280853,1.557044381,3.81775374,3.81775374,1.068673626,4.795844289,4.795844289,3.81775374
13C,13,C,sample,Site Reference,4.078143847,0.59633484,1.41812114,21.89106552,8.885124557,9.237459605,34.29035752,19.60339297,24.78543342,75.21456658,10.89958054,56.47218287,43.52781713,75.21456658
13C-2,13,C,sample,Site Reference,4.205516932,0.754801161,1.605407654,19.57971343,8.050831891,10.89746965,41.27592224,13.63033705,18.57267185,81.42732815,10.41104071,47.82660812,52.17339188,81.42732815
13C-3,13,C,sample,Site Reference,4.375035794,0.867450564,1.476584555,19.51850897,7.631283809,13.07294038,43.05789225,10.00030369,22.96191154,77.03808846,9.975318928,43.86916737,56.13083263,77.03808846
13C-mean,13,C,mean,Site Reference,4.219565524,0.739528855,1.500037783,20.32976264,8.189080086,11.06928988,39.54139067,14.41134457,22.10667227,77.89332773,10.42864672,49.38931945,50.61068055,77.89332773
13C-dev,13,C,dev,Site Reference,0.121612031,0.111208112,0.078237246,1.104290574,0.521129273,1.570534904,3.783637237,3.959150625,2.607447953,2.607447953,0.377533539,5.2624804,5.2624804,2.607447953
14A,14,A,sample,UV Filtered,4.459323593,1.035596934,1.559294626,23.57801331,8.038108625,11.6374104,37.6535321,12.03872042,26.59345357,73.40654643,10.63300018,50.7090575,49.2909425,73.40654643
14A-2,14,A,sample,UV Filtered,3.616269033,0.915658515,1.476360397,20.72475386,7.191679768,15.16150591,40.4911066,10.42266591,23.86696952,76.13303048,9.58369868,44.34738748,55.65261252,76.13303048
14A-3,14,A,sample,UV Filtered,4.198481922,0.944326348,1.497470744,19.78293412,6.554862401,14.78683574,45.08364172,7.151447,29.71693378,70.28306622,8.996659492,40.12952254,59.87047746,70.28306622
14A-mean,14,A,mean,UV Filtered,4.091358182,0.965193933,1.511041922,21.36190043,7.261550264,13.86191735,41.07609347,9.870944443,26.72578562,73.27421438,9.737786119,45.06198917,54.93801083,73.27421438
14A-dev,14,A,dev,UV Filtered,0.352412513,0.051139666,0.035191422,1.613510318,0.607544926,1.58038346,3.061403761,2.033003984,2.390070332,2.390070332,0.67686036,4.348534749,4.348534749,2.390070332
14B,14,B,sample,UV Transmitted,4.753115825,1.297022567,1.381510711,23.07165293,8.109268331,11.77614298,36.07192794,13.5393587,32.11705015,67.88294985,10.78780161,52.15192907,47.84807093,67.88294985
14B-2,14,B,sample,UV Transmitted,4.283863329,1.228273942,1.655834452,18.82318605,6.119755975,11.93276776,45.4847236,10.47159489,21.45920482,78.54079518,9.003864369,42.58250864,57.41749136,78.54079518
14B-3,14,B,sample,UV Transmitted,4.103610877,0.994325799,1.357553098,19.16632426,6.062832024,12.4374946,45.06237589,10.81548345,26.12824753,73.87175247,8.414710921,42.50012951,57.49987049,73.87175247
14B-mean,14,B,mean,UV Transmitted,4.380196677,1.173207436,1.464966087,20.35372108,6.76395211,12.04880178,42.20634248,11.60881235,26.5681675,73.4318325,9.402125634,45.74485574,54.25514426,73.4318325
14B-dev,14,B,dev,UV Transmitted,0.273769069,0.129564845,0.135318246,1.926966722,0.951566037,0.282187186,4.341111658,1.372302629,4.362152678,4.362152678,1.008909933,4.530609826,4.530609826,4.362152678
14C,14,C,sample,Site Reference,3.916072538,0.710606321,1.724840323,22.72430977,10.12173673,8.371023352,37.06162033,15.36979063,24.36165192,75.63834808,12.55718337,54.56735632,45.43264368,75.63834808
14C-2,14,C,sample,Site Reference,3.679910338,0.641916588,1.455647432,21.96733248,9.408384056,9.461814645,40.89182532,12.49316915,23.61040126,76.38959874,11.50594808,49.64636003,50.35363997,76.38959874
14C-3,14,C,sample,Site Reference,4.523092006,0.729753134,1.554897842,20.60680361,8.45911098,12.51774595,43.54486869,8.063727792,21.51247275,78.48752725,10.74376196,43.93738536,56.06261464,78.48752725
14C-mean,14,C,mean,Site Reference,4.039691627,0.694092014,1.578461866,21.76614862,9.329743922,10.11686132,40.49943811,11.97556252,23.16150864,76.83849136,11.6022978,49.38370057,50.61629943,76.83849136
14C-dev,14,C,dev,Site Reference,0.355152634,0.037712566,0.111153499,0.876095237,0.681038079,1.755114752,2.661278276,3.005059736,1.205704196,1.205704196,0.743454442,4.343640034,4.343640034,1.205704196
15A,15,A,sample,UV Filtered,2.881968392,0.566800217,1.199246762,19.08262464,7.571218666,7.067785131,50.82772475,10.80263144,19.79231558,80.20768442,9.337265646,42.10449012,57.89550988,80.20768442
15A-2,15,A,sample,UV Filtered,3.910032083,0.740828354,1.528401145,20.06673757,7.568578853,9.931342548,43.55262275,12.7014567,18.04952718,81.95047282,9.837808351,46.5160347,53.4839653,81.95047282
15A-3,15,A,sample,UV Filtered,4.467712626,0.560309022,1.524193179,20.39251104,7.945568142,13.16055916,43.77164279,8.177504042,20.35356627,79.64643373,10.03007034,43.06779805,56.93220195,79.64643373
15A-mean,15,A,mean,UV Filtered,3.7532377,0.622645864,1.417280362,19.84729108,7.695121887,10.05322895,46.05066343,10.56053073,19.39846967,80.60153033,9.735048113,43.89610762,56.10389238,80.60153033
15A-dev,15,A,dev,UV Filtered,0.656802635,0.083609647,0.154182608,0.556817244,0.177095524,2.48885731,3.379075672,1.854812924,0.980980794,0.980980794,0.292020932,1.893850394,1.893850394,0.980980794
15B,15,B,sample,UV Transmitted,5.144746475,1.162411635,1.374032352,21.58232631,7.702963179,14.33877025,39.06645698,9.628292825,15.1038455,84.8961545,10.23940717,46.59477278,53.40522722,84.8961545
15B-2,15,B,sample,UV Transmitted,4.308335313,1.005474495,1.229237746,18.26965784,6.746644469,13.72518255,46.96763417,7.747833418,16.7288479,83.2711521,8.98135671,39.30718328,60.69281672,83.2711521
15B-3,15,B,sample,UV Transmitted,4.497752088,1.002478496,1.424585751,18.13383917,6.423751466,15.18328706,45.87601606,7.458289898,15.84563034,84.15436966,8.850815713,38.94069687,61.05930313,84.15436966
15B-mean,15,B,mean,UV Transmitted,4.650277959,1.056788209,1.342618616,19.32860777,6.957786372,14.41574662,43.97003574,8.278138714,15.89277458,84.10722542,9.357193197,41.61421764,58.38578236,84.10722542
15B-dev,15,B,dev,UV Transmitted,0.358091249,0.074697055,0.082786182,1.594583981,0.543158251,0.597752017,3.49587576,0.961993055,0.664241489,0.664241489,0.626091769,3.524961007,3.524961007,0.664241489
15C,15,C,sample,Site Reference,3.820315958,0.504687915,1.405626551,22.49588597,9.400828926,8.8600987,34.44014733,19.07240865,16.65039607,83.34960393,11.31114339,56.69975397,43.30024603,83.34960393
15C-2,15,C,sample,Site Reference,5.369895555,0.859316837,2.101733212,18.23290827,7.457697107,13.24558141,46.35116398,6.381703632,16.7288479,83.2711521,10.41874716,40.40325461,59.59674539,83.2711521
15C-3,15,C,sample,Site Reference,3.964327955,0.515265433,1.450461308,19.78748426,8.548708351,11.30669405,42.85209422,11.57496443,23.44055981,76.55944019,10.51443509,45.84121173,54.15878827,76.55944019
15C-mean,15,C,mean,Site Reference,4.384846489,0.626423395,1.652607024,20.17209283,8.469078128,11.13745805,41.21446851,12.34302557,18.93993459,81.06006541,10.74810855,47.64807344,52.35192656,81.06006541
15C-dev,15,C,dev,Site Reference,0.699011736,0.164737139,0.318107203,1.761474295,0.795276072,1.794360659,4.998629335,5.209346528,3.182583772,3.182583772,0.400037684,6.774586566,6.774586566,3.182583772
16A,16,A,sample,UV Filtered,3.811422504,0.661344383,1.676110073,25.62975123,9.011406432,9.853100134,37.13574245,12.2211228,31.56878933,68.43121067,11.34886089,53.01115742,46.98884258,68.43121067
16A-2,16,A,sample,UV Filtered,4.110997442,0.686199129,1.634508408,22.55180891,7.333216761,10.81673727,40.84928928,12.01724281,27.41927871,72.58072129,9.653924298,48.33397346,51.66602654,72.58072129
16A-3,16,A,sample,UV Filtered,4.512967087,0.850981867,1.804801685,21.1067771,6.996703337,13.40714807,44.35562694,6.964993922,29.02050737,70.97949263,9.652486889,42.237225,57.762775,70.97949263
16A-mean,16,A,mean,UV Filtered,4.145129011,0.732841793,1.705140055,23.09611241,7.780442177,11.35899516,40.78021955,10.40111984,29.3361918,70.6638082,10.21842402,47.86078529,52.13921471,70.6638082
16A-dev,16,A,dev,UV Filtered,0.287419465,0.084151638,0.072489103,1.886181942,0.881198074,1.500743569,2.947910106,2.431133174,1.70867436,1.70867436,0.799339787,4.411147639,4.411147639,1.70867436
16B,16,B,sample,UV Transmitted,4.480230387,0.917202136,1.62230932,21.49374449,6.701481028,12.93648073,42.8719155,8.97663641,27.756284,72.243716,9.240992484,44.19160377,55.80839623,72.243716
16B-2,16,B,sample,UV Transmitted,4.738784007,0.639258837,1.62785086,21.59100464,6.468806935,12.85643645,42.68676133,9.391096946,28.95149977,71.04850023,8.735916632,44.45680222,55.54319778,71.04850023
16B-3,16,B,sample,UV Transmitted,4.650376016,0.971686783,1.504427097,21.75811247,7.29337518,11.81541712,41.27811506,10.72849027,25.63839047,74.36160953,9.76948906,46.90646782,53.09353218,74.36160953
16B-mean,16,B,mean,UV Transmitted,4.623130137,0.842715919,1.584862425,21.6142872,6.821221048,12.53611143,42.27893063,9.698741207,27.44872475,72.55127525,9.248799392,45.18495794,54.81504206,72.55127525
16B-dev,16,B,dev,UV Transmitted,0.107297863,0.145575255,0.056921342,0.109176205,0.347113288,0.510654476,0.711708913,0.747543411,1.369943508,1.369943508,0.421990286,1.222096491,1.222096491,1.369943508
16C,16,C,sample,Site Reference,3.576239156,0.560047231,1.299640483,24.96455318,8.044928021,11.52077712,36.74689654,13.28691827,28.41594443,71.58405557,9.904615734,51.73232634,48.26767366,71.58405557
16C-2,16,C,sample,Site Reference,4.535316103,0.499591565,1.577034634,22.65793459,7.464770503,11.2341575,42.24817395,9.783021155,27.75638578,72.24361422,9.541396702,46.51766855,53.48233145,72.24361422
16C-3,16,C,sample,Site Reference,4.89377966,0.631804695,1.800620097,22.03391153,7.486651292,11.85319551,41.5986203,9.701416913,27.56700549,72.43299451,9.919076085,46.54818419,53.45181581,72.43299451
16C-mean,16,C,mean,Site Reference,4.33511164,0.563814497,1.559098405,23.21879977,7.665449939,11.53604338,40.19789693,10.92378545,27.9131119,72.0868881,9.78836284,48.26605969,51.73394031,72.0868881
16C-dev,16,C,dev,Site Reference,0.556201172,0.054041479,0.204916934,1.260447652,0.268480171,0.252951652,2.45459199,1.671319314,0.363865025,0.363865025,0.174731185,2.451052312,2.451052312,0.363865025
17A,17,A,sample,UV Filtered,4.117706385,1.028945226,1.764812981,25.87098296,8.832421441,9.485650304,32.05236669,16.84711401,27.74702526,72.25297474,11.62617965,58.461983,41.538017,72.25297474
17A-2,17,A,sample,UV Filtered,4.878204217,0.938741113,1.573529183,20.73085821,6.11820155,13.53978772,43.70016611,8.520511904,26.48406721,73.51593279,8.630471846,42.76004618,57.23995382,73.51593279
17A-3,17,A,sample,UV Filtered,5.152239827,1.109168305,1.653917343,20.4206005,7.060463452,13.46211508,45.30732308,5.834172415,25.83616766,74.16383234,9.823549101,41.23056184,58.76943816,74.16383234
17A-mean,17,A,mean,UV Filtered,4.716050143,1.025618215,1.664086503,22.34081389,7.337028815,12.1625177,40.35328529,10.40059944,26.68908671,73.31091329,10.02673353,47.48419701,52.51580299,73.31091329
17A-dev,17,A,dev,UV Filtered,0.437634032,0.069616371,0.078421645,2.499417961,1.125200339,1.893096679,5.906193111,4.688444483,0.793460331,0.793460331,1.231402789,7.787540033,7.787540033,0.793460331
17B,17,B,sample,UV Transmitted,5.103283493,1.237541058,1.769809147,19.84424276,6.199805979,11.7852776,40.58127543,13.47876453,19.24922312,80.75077688,9.207156184,47.63344697,52.36655303,80.75077688
17B-2,17,B,sample,UV Transmitted,4.274197404,0.629271341,1.63537449,18.58969385,5.525055725,14.43920484,44.97047108,9.936731273,40.64576201,59.35423799,7.789701556,40.59032408,59.40967592,59.35423799
17B-3,17,B,sample,UV Transmitted,5.194782613,1.049388309,1.708114224,19.16091468,5.748541226,14.22768115,42.32269993,10.58787787,18.28896754,81.71103246,8.506043759,43.44961893,56.55038107,81.71103246
17B-mean,17,B,mean,UV Transmitted,4.85742117,0.972066903,1.70443262,19.19828376,5.824467643,13.48405453,42.62481548,11.33445789,26.06131756,73.93868244,8.500967166,43.89112999,56.10887001,73.93868244
17B-dev,17,B,dev,UV Transmitted,0.414543044,0.304134859,0.067217329,0.627274458,0.337375127,1.326963616,2.194597827,1.771016627,10.69826945,10.69826945,0.708727314,3.521561443,3.521561443,10.69826945
17C,17,C,sample,Site Reference,3.466255724,0.388982679,1.072448928,23.50277737,8.060296771,7.547477251,33.82922468,22.13253659,23.69253214,76.30746786,9.521728378,58.62329807,41.37670193,76.30746786
17C-2,17,C,sample,Site Reference,4.262663699,0.488481272,1.450166179,20.21490534,7.342354834,13.23432662,44.88813476,8.118967298,26.41981387,73.58018613,9.281002285,41.87753862,58.12246138,73.58018613
17C-3,17,C,sample,Site Reference,5.123934766,0.815385709,1.632001193,20.43428342,7.076623263,12.20624876,42.56535736,10.14616553,22.67794022,77.32205978,9.524010165,45.22839389,54.77160611,77.32205978
17C-mean,17,C,mean,Site Reference,4.28428473,0.56428322,1.3848721,21.38398871,7.493091623,10.99601754,40.42757226,13.46588981,24.26342874,75.73657126,9.442246943,48.57641019,51.42358981,75.73657126
17C-dev,17,C,dev,Site Reference,0.676917303,0.182143419,0.233055318,1.500884345,0.415487326,2.474342826,4.761124995,6.183874623,1.580052064,1.580052064,0.114020996,7.234732187,7.234732187,1.580052064
18A-2,18,A,sample,UV Filtered,3.848868741,0.872444786,1.520983897,19.48220754,7.452547621,13.32841132,45.00494003,8.489596064,26.28884902,73.71115098,9.845976303,41.66664865,58.33335135,73.71115098
18A-3,18,A,sample,UV Filtered,4.357620122,0.818431272,1.623000945,20.40522609,7.272483925,12.11906642,46.77233786,6.631833355,26.35825992,73.64174008,9.713916142,41.10859571,58.89140429,73.64174008
18A-4,18,A,sample,UV Filtered,4.931305083,1.12599845,1.476249514,18.85235785,5.583764952,13.27105727,48.69011545,6.069151428,25.80656761,74.19343239,8.186012915,38.03882728,61.96117272,74.19343239
18A-mean,18,A,mean,UV Filtered,4.379264649,0.938958169,1.540078118,19.57993049,6.769598832,12.90617834,46.82246445,7.063526949,26.15122552,73.84877448,9.24863512,40.27135721,59.72864279,73.84877448
18A-dev,18,A,dev,UV Filtered,0.442167745,0.134083096,0.061413558,0.637710633,0.841727283,0.557064477,1.504884044,1.034217121,0.245351823,0.245351823,0.753319071,1.594991787,1.594991787,0.245351823
18B,18,B,sample,UV Transmitted,4.327357212,0.857720139,1.492060837,22.53429991,7.860252031,11.78227546,37.43214917,13.71388524,18.96211806,81.03788194,10.21003301,50.78557537,49.21442463,81.03788194
18B-2,18,B,sample,UV Transmitted,4.207372036,1.211876821,1.793698143,19.85070256,7.065704624,10.38702582,42.89300483,12.59061517,23.97254093,76.02745907,10.07127959,46.71996935,53.28003065,76.02745907
18B-3,18,B,sample,UV Transmitted,4.524060971,0.789205861,1.79922689,19.54540019,7.086915208,13.15795073,46.5286041,6.568636058,26.59907824,73.40092176,9.675347959,40.31344517,59.68655483,73.40092176
18B-4,18,B,sample,UV Transmitted,4.722406799,0.709676035,1.645575461,20.29984856,6.762623211,12.62780291,44.59346328,8.638603738,24.42056857,75.57943143,9.117874708,42.77873381,57.22126619,75.57943143
18B-mean,18,B,mean,UV Transmitted,4.445299254,0.892119714,1.682640333,20.5575628,7.193873769,11.98876373,42.86180534,10.37793505,23.48857645,76.51142355,9.768633815,45.14943092,54.85056908,76.51142355
18B-dev,18,B,dev,UV Transmitted,0.195902837,0.191901599,0.126115633,1.172394005,0.405556561,1.046848968,3.388443297,2.896573372,2.795839674,2.795839674,0.423856514,3.976168953,3.976168953,2.795839674
18C,18,C,sample,Site Reference,3.998175252,0.57045233,1.645096936,24.94871605,9.589797652,8.984758894,33.65314367,16.60985921,27.56221075,72.43778925,11.80534692,57.36209743,42.63790257,72.43778925
18C-2,18,C,sample,Site Reference,4.424534695,0.80663717,1.507892522,20.82838876,7.700072866,9.391707001,43.03677506,12.30399193,24.76520084,75.23479916,10.01460256,47.57151794,52.42848206,75.23479916
18C-3,18,C,sample,Site Reference,6.615588775,0.855592589,1.761971375,21.02457484,7.636449397,12.82268613,39.64101221,9.642124687,25.84172854,74.15827146,10.25401336,47.53630167,52.46369833,74.15827146
18C-4,18,C,sample,Site Reference,4.536260929,0.554388177,1.530436489,21.15725123,7.626575232,10.90120041,42.85196012,10.84192741,20.85039071,79.14960929,9.711399899,46.24683948,53.75316052,79.14960929
18C-mean,18,C,mean,Site Reference,4.893639913,0.696767567,1.611349331,21.98973272,8.138223787,10.52508811,39.79572276,12.34947581,24.75488271,75.24511729,10.44634068,49.67918913,50.32081087,75.24511729
18C-dev,18,C,dev,Site Reference,1.014241624,0.135576682,0.101336198,1.712370968,0.838541099,1.506451454,3.794740439,2.634169117,2.465131276,2.465131276,0.807840255,4.467727294,4.467727294,2.465131276
19A,19,A,sample,UV Filtered,4.682442564,1.51960389,1.570426606,19.75197317,6.975371408,12.59078252,43.83140183,9.077998015,20.00966039,79.99033961,10.0654019,43.57781566,56.42218434,79.99033961
19A-2,19,A,sample,UV Filtered,4.742948667,1.50459025,1.639422648,18.35686225,6.545163416,14.62785849,45.93512388,6.648030409,18.97070516,81.02929484,9.689176314,39.43701764,60.56298236,81.02929484
19A-3,19,A,sample,UV Filtered,5.251517292,1.458280933,1.787552868,17.9185532,5.804639074,14.93909494,47.07985253,5.760509169,18.52241487,81.47758513,9.050472875,37.98105254,62.01894746,81.47758513
19A-mean,19,A,mean,UV Filtered,4.892302841,1.494158358,1.665800707,18.67579621,6.441724633,14.05257865,45.61545941,7.162179198,19.16759347,80.83240653,9.601683698,40.33196194,59.66803806,80.83240653
19A-dev,19,A,dev,UV Filtered,0.255201246,0.0260991,0.090582577,0.781727298,0.483513692,1.041426259,1.345299722,1.402306385,0.622922449,0.622922449,0.418936314,2.370883569,2.370883569,0.622922449
